Capverdian Creole,Portuguese,English
A Força de Cretcheu,A Força do meu amor,The strength of my love
Kel Força de nhá Cretxeu,Aquelá força do meu amor,That strength of my love
ká tem nada na es vida,Não têm nada nesta vida,There's nothing in this life
Ká tem nada nes vida,Não têm nada nesta vida,There's nothing in this life
ene dem nada nes vida,Não têm nada nesta vida,There's nothing in this life
Mas grande que amor,Mais grande que o meu amor,Bigger than my love
Mas grande ke nhá amor,Mais grande que o meu amor,Bigger than my love
Se Deus ká tem medida,Se Deus não tem medida,If God has no measure
Se Deus ke tem medida,Se Deus não tem medida,If God has no measure
Amor inda é maior.,O amor é maior ainda.,Love is even bigger.
Amor ê mas maior einda.,O amor é maior ainda.,Love is even bigger.
"Maior que mar, que céu","Maior que o mar, que o céu","Bigger than the sea, than the sky"
"Maior ke mar, ke céu","Maior que o mar, que o céu","Bigger than the sea, than the sky"
"Mas, entre tudo cretchêu","Mas, de entre todos os amores","But, among all loves"
"Mas, de tud cretchêu","Mas, de todos os amores","But, of all loves"
De meu ê inda maior,O meu é melhor ainda,Mine is even better
de minha ê einda maior,O meu é melhor ainda,Mine is even better
"Cretchêu más sabê,","Amor mais bom,","Love more good,"
"Cretchêu más sabê,","Amor mais gostoso,","More delicious love,"
Ê kel ke de minha,É aquele que é meu,It's the one who is mine
Ê kel ke de minha,É aquele que é meu,It's the one who is mine
K abrim nhá céu.,Que abriu o meu céu,That opened my sky
K abrim nhá céu.,Que abriu o meu céu,That opened my sky
É quel ke krêm,É aquele que me quer,It's the one who wants me
É kel ke krêm,É aquele que me quer,It's the one who wants me
Ai sim perdel,Ai se eu o perder,Oh if I lose him
Morte tá bem,A morte vêm,Death comes
Morte te bem,A morte vêm,Death comes
"Ó força de cretxeu,","Ó força do meu amor,","Oh strength of my love,"
"Ó força de krêtxeu,","Ó força do meu amor,","Oh strength of my love,"
Que abrim nhá asa em flôr,Que abriu as minhas asas em forma de flôr,That opened my wings in the form of a flower
Ke abrim nhá asa em flôr,Que abriu as minhas asas em forma de flôr,That opened my wings in the form of a flower
Txam bá alcança céu,Deixa-me ir alcançar o céu,Let me reach the sky
P'm bá oiá nos Senhor,Para eu ir ver o Nosso Senhor,For me to go see Our Lord
Pá m bá oiá nos Senhor,Para eu ir ver o Nosso Senhor,For me to go see Our Lord
P m bá pedil semente,Para eu ir pedir sementes a ele,For me to ask him seeds
Pá m bá pedil semente,Para eu ir pedir sementes a ele,For me to ask him seeds
"De amor, moda ês de meu","De amor, igual ao meu","Of love, just like my"
"De amor, moda es de minha","De amor, igual ao meu","Of love, just like my"
"De amor, moda es de minha","De amor, igual ao meu","Of love, just like my"
P m bem dá tud gente,Para eu ir dar a toda gente,For me to go and give to everyone
Pá m bem dá tud gente,Para eu ir dar a toda gente,For me to go and give to everyone
Pá m bem dá tud gente,Para eu ir dar a toda gente,For me to go and give to everyone
Pá tud es bá conché céu,Para todos eles irem conhecer o céu,For all of them to know heaven
Pá tud es bá conxê céu,Para todos eles irem conhecer o céu,For all of them to know heaven
"Se é p m vivê na es mal, de ká tem","Se é para eu viver neste mal, de quem não tem","If it is for me to live in this evil, who does not have"
"Se é pam vivê na es mal, de Ká tem","Se é para eu viver neste mal, de quem não tem","If it is for me to live in this evil, who does not have"
"Na nhá cruz,","Na minha cruz,","In my cross,"
Na es dor,Nesta dor,In this pain
de nhá vida,da minha vida,of my life
Na martírio de amor!,No martírio do amor!,In the martyrdom of love!
Kem mostram bô esse caminho longe?,Quem me mostrou esse caminho longe?,Who showed me this way away?
Ess caminho pá Sao Tomé,Este caminho para São Tomé,This path to Sao Tome
Sodade sodade Sodade,Saudades Saudades Saudades,I miss you missing you
Dess nhá terra São Nicoláu,Desta minha terra São Nicoláu,From my land São Nicoláu
"Se bô escrevem, m ta xcrevêb","Se tu me escreveres, eu te escrevo de volta","If you write me, I write you back"
"Se bô eskecem, m ta xkecêb","Se tu me esqueceres, eu the esqueço também","If you forget me, I forget too"
Até dia ke bô volta,Até dia que nós voltarmos,Until the day we come back
"escola te uma suave nhá mano, jáme tmá 5 test,","A escola está bem meu amigo, já tomei 5 testes,","School is fine my friend, I have already taken 5 tests,"
"nota mes bôxe ê 16, te félteme fazê 2 e tmá 1","A nota mais baixa é 16, me falta fazer mais 2 e tomar 1","The lowest grade is 16, I need to do 2 more and take 1"
Nhá nome ê Roberto Carlos.,O meu nome é Roberto Carlos.,My name is Roberto Carlos.
el dzê se nome ê Carmen.,Ela disse que o seu nome é Carmen.,She said her name is Carmen.
El dzê se nome ê Merlinda.,Ela disse que o seu nome é Merlinda.,She said her name is Merlinda.
El dzê se nome ê Antão.,Ele disse que o seu nome é Antão.,He said his name is Antão.
El dzê se nome ê Amadeu.,Ele disse que o seu nome é Amadeu.,He said his name is Amadeu.
Nhá nome ê Ana.,O meu nome é Ana.,My name is Ana.
Es te txmám Rogério.,Eles me chamam de Rogério.,They call me Rogério.
Nhá nome ê Joana.,O meu nome é Joana.,My name is Joana.
Nome de nhá pai ê José e de nhá mãe ê Maria. ,O nome do meu pai é José e da minha mãe é Maria.,My father's name is Joseph and my mother is Mary.
"Pooo, isse ê prop nice","Poo, isso é mesmo bom","Poo, that's really good"
Continua mural lá nhá man,Continua com essa mesma força ai man,Continues with that same force there man
Hoje mim má Vuca tava te falá de bô,Hoje eu e o Vuca estávamos a falar de ti,Today me and Vuca were talking about you
Tem ke ser nem,Tem de ser nem,It has to be
"Mural te lá dcima, ê so estuda","A força está lá em cima, é só estudar","The force is up there, just study"
El bem dem falá,Ele veio me ver,He came to see me
"Ade, sebim","Assim, bom","So, good"
"Ya ontem kel moss fazê one, déme um vontad de xtód lá","Ya ontem aquele menino fez aniversário, ele me fez querer estar lá","Ya yesterday that boy had a birthday, he made me want to be there"
