Capverdian Creole,Portuguese,English
Bei.,Vai.,Go.
Bai.,Vai.,Go.
Bé.,Vai.,Go.
Bá.,Vai.,Go.
Krrê!,Corre!,Run!
Incêndie!,Incêndio!,Fire!
Isda!,Ajuda!,Help!
Esdel!,Ajuda!,Help!
Pula.,Pular.,Jump.
Salta.,Pular.,Jump.
Para!,Pare!,Stop!
Xperá!,Espere!,Wait!
M te oia.,Eu vejo.,I see.
M te tenta.,Eu tento.,I try.
M vencê!,Eu venci!,I won!
M ganha!,Eu venci!,I won!
Oh não!,Oh não!,Oh no!
Ataque!,Ataque!,Attack!
Felicidade!,Felicidades!,Cheers!
Felicidad!,Felicidades!,Cheers!
Felicidéd!,Felicidades!,Cheers!
Levanta!,Levante-se.,Get up.
Jam intendê!,Entendi!,Got it!
Jam intendê?,Entendi?,Got it?
Salta.,Pular.,Hop in.
Breçeme.,Me abrace.,Hug me.
Braçame.,Me abrace.,Hug me.
Bresseme.,Me abrace.,Hug me.
Brassame.,Me abrace.,Hug me.
M quei.,Eu caí.,I fell.
M dá um keda.,Eu caí.,I fell.
M kêi.,Eu caí.,I fell.
M sebê.,Eu sei.,I know.
M sabê.,Eu sei.,I know.
M txá.,Eu deixei.,I left.
M perdê.,Eu perdi.,I lost.
M tem 19.,Eu tenho 19.,I'm 19.
M te dret.,Estou bem.,I'm OK.
M te dxcontrá.,Estou bem.,I'm OK.
M te suave.,Estou bem.,I'm OK.
M te ovi.,Ouço.,Listen.
De nenhum manera!,De jeito nenhum!,No way!
Ene dem dia!,De jeito nenhum!,No way!
Ka tem manera!,De jeito nenhum!,No way!
Ene dem manera!,De jeito nenhum!,No way!
Aser?,Sério?,Really?
Brigada.,Obrigado.,Thanks.
Obrigada.,Obrigado.,Thanks.
Thanks,Obrigado.,Thanks.
No tentá.,Nós tentamos.,We try.
No tenta.,Nós tentamos.,We try.
No ganha.,Nós ganhamos.,We won.
Pergunta Tom.,Pergunte a Tom.,Ask Tom.
Incrível!,Incrível!,Awesome!
Fcá calme.,Fique calmo.,Be calm.
Fcá trenkuil.,Fique calmo.,Be calm.
Fcá trankuil.,Fique calmo.,Be calm.
Fcá dxcontrá.,Fique calmo.,Be calm.
Fcá trankuil.,Fique tranquilo.,Be cool.
Fcá trenkuil.,Fique tranquilo.,Be cool.
Ser just.,Ser justo.,Be fair.
Ser amável.,Seja amável.,Be kind.
Ser kul.,Seja legal.,Be nice.
Ser dxcontrá,Seja legal.,Be nice.
Sei fora.,Cai fora.,Beat it.
Bei dei.,Cai fora.,Beat it.
Bai dei.,Cai fora.,Beat it.
Sei dei.,Cai fora.,Beat it.
Txmáme.,Liga para mim.,Call me.
Txêmame.,Liga para mim.,Call me.
Txêmám.,Liga para mim.,Call me.
Txêmeme.,Liga para mim.,Call me.
Txêmem.,Liga para mim.,Call me.
Tlefonem.,Liga para mim.,Call me.
Tlefonam.,Liga para mim.,Call me.
Txmemê.,Liga para mim.,Call me.
Txmem.,Liga para mim.,Call me.
Txmá nos.,Ligue para nós.,Call us.
Tlefona nos.,Ligue para nós.,Call us.
Entra.,Entre.,Come in.
No bei!,Vamos!,Come on!
No bé!,Vamos!,Come on!
No bai!,Vamos!,Come on!
Larga!,Largue!,Drop it!
Sei!,Sair!,Get out!
Sei.,Sair.,Get out.
Bei embora!,Vá embora!,Go away!
Bembora!,Vá embora!,Go away!
Bei dei!,Vá embora!,Go away!
Bá dei!,Vá embora!,Go away!
Bé dei!,Vá embora!,Go away!
Sei dei!,Vá embora!,Go away!
Bei dvagar.,Vai devagar.,Go slow.
Bá dvagar!,Vai devagar.,Go slow.
Bé dvagar!,Vai devagar.,Go slow.
Txau!,Adeus!,Goodbye!
Xperá!,Espere!,Hang on!
Perá.,Espere!,Hang on!
El sei.,Ele saiu.,He quit.
El te krrê.,Ele corre.,He runs.
Isdem!,Ajude-me!,Help me!
Esdem!,Ajude-me!,Help me!
Isdam!,Ajude-me!,Help me!
Isda nos.,Ajude-nos.,Help us.
Esda nos.,Ajude-nos.,Help us.
Segura!,Segure!,Hold it!
Guenta.,Aguentar.,Hold on.
Te conconda.,Concordo.,I agree.
M tenta.,Eu tentei.,I tried.
M tite bei.,Eu irei.,I'll go.
Mim ê gord.,Eu sou gordo.,I'm fat.
M te em forma.,Eu estou em forma.,I'm fit.
M te doente.,Estou doente.,I'm ill.
M te triste.,Estou triste.,I'm sad.
Mim ê tímido.,Eu sou tímido.,I'm shy.
M te molhód.,Estou molhado.,I'm wet.
M sebê!,Sou eu!,It's me!
M sabê!,Sou eu!,It's me!
Junta ma nos.,Junte-se a nós.,Join us.
 Mantel.,Mantê-la.,Keep it.
Beijam.,Me beija.,Kiss me.
Beijêm.,Me beija.,Kiss me.
Mim tambê.,Eu também.,"Me, too."
Ébri.,Abra.,Open up.
Ebri.,Abra.,Open up.
Êbri.,Abra.,Open up.
Perfeit!,Perfeito!,Perfect!
Oia bô!,Vê você.,See you.
Mostreme.,Mostre-me.,Show me.
Mostrame.,Mostre-me.,Show me.
Mostremê.,Mostre-me.,Show me.
Mostramê.,Mostre-me.,Show me.
Cala!,Cale-se!,Shut up!
Tont temp.,Tanto tempo.,So long.
Pega.,Pegue.,Take it.
Dzêm.,Diga-me.,Tell me.
Dzem.,Diga-me.,Tell me.
Tom ganha.,Tom venceu.,Tom won.
Corda.,Acordar!,Wake up!
Lava.,Lavar.,Wash up.
No sebê.,Nós sabemos.,We know.
No sabê.,Nós sabemos.,We know.
No perdê.,Nós perdemos.,We lost.
Kem ganha?,Quem ganhou?,Who won?
Quem ganha?,Quem ganhou?,Who won?
Bô te krrê.,Você corre.,You run.
Mim ê gord?,Eu sou gordo?,Am I fat?
Recua.,Recuar.,Back off.
Ser ome.,Seja um homem.,Be a man.
Fcá ket.,Fique quieto.,Be still.
Fcá kêt.,Fique quieto.,Be still.
Txmá p Tom.,Ligue para Tom.,Call Tom.
Xfriá!,Esfriar!,Cool off!
Baixá!,Abaixe-se!,Get down!
Perdê!,Se perder!,Get lost!
Fcá real!,Fique real!,Get real!
Bei p frente.,Vá em frente.,Go ahead.
Bai p frente.,Vá em frente.,Go ahead.
Bé p frente.,Vá em frente.,Go ahead.
Bá pe frente.,Vá em frente.,Go ahead.
Bom trobói!,Bom trabalho!,Good job!
Segurel.,Segure ele.,Grab him.
Segural.,Segure ele.,Grab him.
Diverti.,Divirta-se.,Have fun.
El te tentá.,Ele tenta.,He tries.
El te molhód.,Ele está molhado.,He's wet.
El te moilhód.,Ele está molhado.,He's wet.
"Oi, pessoal.","Oi, pessoal.","Hi, guys."
Ke fofo!,Que fofo!,How cute!
Txpachá.,Se apresse.,Hurry up.
M fazê iss.,Eu fiz isso.,I did it.
M fezê iss.,Eu fiz isso.,I did it.
M xkecê.,Eu esqueci.,I forgot.
M te intendê.,Entendo.,I get it.
M intendê.,Eu entendi.,I got it.
M tlefoná.,Eu telefonei.,I phoned.
M txemá.,Eu telefonei.,I phoned.
M te recusa.,Eu recuso.,I refuse.
M oia.,Eu vi.,I saw it.
M fká.,Eu fiquei.,I stayed.
M fcá.,Eu fiquei.,I stayed.
M te usel.,Eu uso-o.,I use it.
M te usal.,Eu uso-o.,I use it.
M te paga.,Eu vou pagar.,I'll pay.
M te tenta.,Vou tentar.,I'll try.
M tite bei tenta.,Vou tentar.,I'll try.
M tite bai tenta.,Vou tentar.,I'll try.
M tite bá tenta.,Vou tentar.,I'll try.
M tite bei tenta.,Vou tentar.,I'll try.
Jam volta.,Voltei.,I'm back.
Jam bem.,Voltei.,I'm back.
Mim ê careca.,Eu sou careca.,I'm bald.
M te ocopód.,Estou ocupado.,I'm busy.
M ta calme.,Estou calma.,I'm calm.
M te ke frio.,Estou com frio.,I'm cold.
Jam termina.,Terminei.,I'm done.
M te dret.,Estou bem.,I'm fine.
M te dxcontrá.,Estou bem.,I'm fine.
M te suave.,Estou bem.,I'm fine.
M te livre!,Eu estou livre!,I'm free!
M te livre.,Eu estou livre.,I'm free.
M te chei.,Estou cheio.,I'm full.
M te fliz.,Estou feliz.,I'm glad.
M te na casa.,Estou em casa.,I'm home.
M te trozód.,Estou atrasado.,I'm late.
M te trazód.,Estou atrasado.,I'm late.
Mim ê preguiçosa.,Sou preguiçosa.,I'm lazy.
Mim ê preguiçose.,Sou preguiçosa.,I'm lazy.
M te dret.,Estou bem.,I'm okay.
M te ok.,Estou bem.,I'm okay.
M te dxcontrá.,Estou bem.,I'm okay.
M te suave.,Estou bem.,I'm okay.
M te segur.,Estou seguro.,I'm safe.
M te doente.,Eu estou doente.,I'm sick.
M tem certeza.,Tenho certeza.,I'm sure.
Mim ê olt.,Eu sou alto.,I'm tall.
Mim ê mogre.,Eu sou magro.,I'm thin.
M tite rmá.,Estou arrumado.,I'm tidy.
Mim ê fei.,Eu sou feio.,I'm ugly.
Mim ê frók.,Eu sou fraco.,I'm weak.
M te dret.,Eu estou bem.,I'm well.
M te suave.,Eu estou bem.,I'm well.
M ganha.,Eu ganhei.,I've won.
Funcianá.,Funciona.,It works.
El ê del.,É dele.,It's his.
El ê nov.,É novo.,It's new.
El ê nove.,É novo.,It's new.
El ê xtronhê.,É estranho.,It's odd.
El ê triste.,É triste.,It's sad.
Ene p entrá!,Não entre!,Keep out!
Txá.,Deixar.,Leave it.
Txamê.,Deixe-me.,Leave me.
Txemê.,Deixe-me.,Leave me.
Txá nos.,Nos deixe.,Leave us.
No bei!,Vamos lá!,Let's go!
No bé!,Vamos lá!,Let's go!
No bai!,Vamos lá!,Let's go!
No bá!,Vamos lá!,Let's go!
Tmá cuidód!,Tenha cuidado!,Look out!
Casa ma mim.,Case comigo.,Marry me.
M podê bei?,Posso ir?,May I go?
Jal txêga.,Ela chegou.,She came.
Jal txegá.,Ela chegou.,She came.
El mrrê.,Ela morreu.,She died.
El krê.,Ela corre.,She runs.
Sentá.,Sentar-se!,Sit down!
Sentá ei.,Sente-se aqui.,Sit here.
Sentá li.,Sente-se aqui.,Sit here.
Falá!,Fala!,Speak up!
Pará Tom.,Pare Tom.,Stop Tom.
Formidável!,Formidável!,Terrific!
Es ganhá.,Eles ganharam.,They won.
Tom bem.,Tom veio.,Tom came.
Tom mrrê.,Tom morreu.,Tom died.
Tom sei.,Tom saiu.,Tom left.
Tom perdê.,Tom perdeu.,Tom lost.
Tarde de mes.,Tarde demais.,Too late.
Tarde de mas.,Tarde demais.,Too late.
Comfia ne mim.,Confie em mim.,Trust me.
Comfia na mim.,Confie em mim.,Trust me.
Tentá mut.,Tentar muito.,Try hard.
Xperimentá alguns.,Experimente alguns.,Try some.
Tentá iss.,Tente isso.,Try this.
Usa iss.,Usa isto.,Use this.
Visá Tom.,Avisar Tom.,Warn Tom.
Oiam.,Me veja.,Watch me.
Assisti nos.,Assista-nos.,Watch us.
No concorda.,Nós concordamos.,We agree.
No tite bei.,Nós iremos.,We'll go.
P ukê?,Pelo que?,What for?
Kem ke mrrê?,Quem morreu?,Who died?
Quem ke mrrê?,Quem morreu?,Who died?
Kem ke el?,Quem é ele?,Who's he?
Quem ke el?,Quem é ele?,Who's he?
Xkrevem.,Me escreva.,Write me.
Depox de bô.,Depois de você.,After you.
Mirá. Incêndie!,Mirar. Incêndio!,Aim. Fire!
M te trozód?,Eu estou atrasado?,Am I late?
Respondem.,Responda-me.,Answer me.
Respondêm.,Responda-me.,Answer me.
Estód sentód.,Estar sentado.,Be seated.
Pósse te voá.,Pássaros voam.,Birds fly.
Saúde.,Saúde.,Bless you.
Txmá pa casa!,Ligue para casa!,Call home!
Calmá!,Acalmar!,Calm down!
No podê bei?,Podemos ir?,Can we go?
No podê bai?,Podemos ir?,Can we go?
No podê bé?,Podemos ir?,Can we go?
No podê bá?,Podemos ir?,Can we go?
Penhel.,Pegue-o.,Catch him.
Voltá.,Volte.,Come back.
Bem ei.,Venha aqui.,Come here.
Bem li.,Venha aqui.,Come here.
Txêga ei.,Venha aqui.,Come here.
Txêga li.,Venha aqui.,Come here.
Bem ei.,Venha aqui.,Come over.
Bem li.,Venha aqui.,Come over.
Txêga ei.,Venha aqui.,Come over.
Txêga li.,Venha aqui.,Come over.
Em breve.,Em breve.,Come soon.
M ganhá?,Eu ganhei?,Did I win?
Ene p perguntá.,Não pergunte.,Don't ask.
Ke bô pergunta.,Não pergunte.,Don't ask.
Ene p txorá.,Não chore.,Don't cry.
Ká bô txorá.,Não chore.,Don't cry.
Ene pe mrrê.,Não morra.,Don't die.
Ká bô mrrê.,Não morra.,Don't die.
Ene p minti.,Não minta.,Don't lie.
Ká bô minti.,Não minta.,Don't lie.
Ene p krrê.,Não corra.,Don't run.
Ká bô krrê.,Não corra.,Don't run.
Com licença.,Com licença.,Excuse me.
Sinti iss.,Sinta isto.,Feel this.
Seguim.,Me siga.,Follow me.
Segui nos.,Siga-nos.,Follow us.
Xkecê!,Esqueça!,Forget it!
Ranjá um imprege.,Arrume um emprego.,Get a job.
Prepará.,Prepare-se.,Get ready.
Bei esca.,Vai buscar.,Go get it.
Bé esca.,Vai buscar.,Go get it.
Bai esca.,Vai buscar.,Go get it.
Bá esca.,Vai buscar.,Go get it.
Bei pre dente.,Ir para dentro.,Go inside.
Bei prê dente.,Ir para dentro.,Go inside.
Bé prê dente.,Ir para dentro.,Go inside.
Bai prê dente.,Ir para dentro.,Go inside.
Bá prê dente.,Ir para dentro.,Go inside.
Bei pa cama.,Ir para a cama.,Go to bed.
Bai pa cama.,Ir para a cama.,Go to bed.
Bé pa cama.,Ir para a cama.,Go to bed.
Bá pa cama.,Ir para a cama.,Go to bed.
Boa sorte.,Boa sorte.,Good luck.
Pegá iss.,Pegue isso.,Grab that.
Pegá iss.,Pegue isso.,Grab this.
Mom forá.,Mãos fora.,Hands off.
El tava doente.,Ele está doente.,He is ill.
El ê vei.,Ele é velho.,He is old.
El ê bedjê.,Ele é velho.,He is old.
El ê DJ.,Ele é um DJ.,He's a DJ.
El ê bom.,Ele é bom.,He's good.
El ê preguiçose.,Ele é preguiçoso.,He's lazy.
El ê ric.,Ele é rico.,He's rich.
El ê rik.,Ele é rico.,He's rich.
Olim ei.,Aqui estou.,Here I am.
Olim li.,Aqui estou.,Here I am.
Oli $5.,Aqui estão US $ 5.,Here's $5.
Segurá fog.,Segure fogo.,Hold fire.
Segurá iss.,Segure isso.,Hold this.
Manera ke Tom tá?,Como está Tom?,How's Tom?
M te ocopód.,Estou ocupado.,I am busy.
M te calm.,Eu estou calmo.,I am calm.
M te ke frio.,Estou com frio.,I am cold.
Mim ê bom.,Eu sou bom.,I am good.
Olim ei.,Eu estou aqui.,I am here.
Olim li.,Eu estou aqui.,I am here.
Mim ê preguiços.,Eu sou preguiçoso.,I am lazy.
M te doente.,Estou doente.,I am sick.
M tem certeza.,Tenho certeza.,I am sure.
Mim ê frók.,Eu sou fraco.,I am weak.
M te implorób.,Eu te imploro.,I beg you.
M podê krrê.,Eu posso correr.,I can run.
M podê xkiá.,Eu posso esquiar.,I can ski.
M incolhi.,Eu me encolhi.,I cringed.
M te dsisti.,Desisto.,I give up.
M fcá quente.,Eu fiquei quente.,I got hot.
M diverti.,Eu me diverti.,I had fun.
M te odiá iss.,Eu odeio isso.,I hate it.
M te xperá ke sim.,Espero que sim.,I hope so.
M sebia.,Eu sabia.,I knew it.
M te gosta diss.,Eu gosto disso.,I like it.
M perdê iss.,Eu perdi isso.,I lost it.
M te ama iss.,Eu amo isso.,I love it.
M krê dzê!,Quero dizer!,I mean it!
M mestê bei.,Eu preciso ir.,I must go.
M mestê bai.,Eu preciso ir.,I must go.
M mestê bé.,Eu preciso ir.,I must go.
M mestê bá.,Eu preciso ir.,I must go.
M tite precisa diss.,Eu preciso disso.,I need it.
M percebê.,Percebi.,I noticed.
M te prometê.,Eu prometo.,I promise.
M dzê ke não.,Eu disse não.,I said no.
M oiel.,Eu vi ele.,I saw him.
M oial.,Eu vi ele.,I saw him.
M oiá um.,Eu vi um.,I saw one.
M oiób.,Eu vi você.,I saw you.
M tropeça.,Eu tropecei.,I tripped.
M krê iss.,Quero isso.,I want it.
Mim era nov.,Eu era novo.,I was new.
M tite bei.,Eu vou.,I will go.
M cordá.,Eu acordei.,I woke up.
M te concordá.,Eu concordo.,I'd agree.
M tava bei embora.,Eu iria embora.,I'd leave.
M tite bei txemá.,Eu vou ligar.,I'll call.
M tite bei kuzinhá.,Vou cozinhar.,I'll cook.
M te isda.,Eu ajudo.,I'll help.
M te esda.,Eu ajudo.,I'll help.
M tite bei vivê.,Eu vou viver.,I'll live.
M tite bai vivê.,Eu vou viver.,I'll live.
M tite bé vivê.,Eu vou viver.,I'll live.
M tite bá vivê.,Eu vou viver.,I'll live.
M tite bei obedecê.,Vou obedecer.,I'll obey.
M tite bei rmá nhes mala.,Vou fazer as malas.,I'll pack.
M tite bei rmá nhas mala.,Vou fazer as malas.,I'll pack.
M tite bei passá.,Vou passar.,I'll pass.
M tite bei dsisti.,Eu vou desistir.,I'll quit.
M tite bai dsisti.,Eu vou desistir.,I'll quit.
M tite bé dsisti.,Eu vou desistir.,I'll quit.
M tite bá dsisti.,Eu vou desistir.,I'll quit.
M tite bei canta.,Vou cantar.,I'll sing.
M tite bai canta.,Vou cantar.,I'll sing.
M tite bei nada.,Vou nadar.,I'll swim.
M tite bai nada.,Vou nadar.,I'll swim.
M tite bé nada.,Vou nadar.,I'll swim.
M tite bá nada.,Vou nadar.,I'll swim.
M tite bei xperá.,Eu vou esperar.,I'll wait.
M tite bai xperá.,Eu vou esperar.,I'll wait.
M tite bé xperá.,Eu vou esperar.,I'll wait.
M tite bá xperá.,Eu vou esperar.,I'll wait.
M tite bei andá.,Eu andarei.,I'll walk.
M tite bai andá.,Eu andarei.,I'll walk.
M tite bé andá.,Eu andarei.,I'll walk.
M tite bá andá.,Eu andarei.,I'll walk.
M tite bei trebaiá.,Eu vou trabalhar.,I'll work.
M tite bai trebaiá.,Eu vou trabalhar.,I'll work.
M tite bé trebaiá.,Eu vou trabalhar.,I'll work.
M tite bá trebaiá.,Eu vou trabalhar.,I'll work.
Mim ê um plicia.,Eu sou um policial.,I'm a cop.
Mim ê um ome.,Eu sou um homem.,I'm a man.
M te mi so.,Estou sozinho.,I'm alone.
M te ormód.,Estou armado.,I'm armed.
M te cordód.,Estou acordado.,I'm awake.
M te cegê.,Eu estou cego.,I'm blind.
M te dur.,Estou duro.,I'm broke.
Mim ê doid.,Eu sou louco.,I'm crazy.
M te curód.,Estou curado.,I'm cured.
M te fusk.,Eu estou bêbado.,I'm drunk.
M tite mrrê.,Estou morrendo.,I'm dying.
M te diantód.,Estou adiantado.,I'm early.
M te diontód.,Estou adiantado.,I'm early.
Mim ê primer.,Eu primeiro.,I'm first.
Mim ê exigente.,Eu sou exigente.,I'm fussy.
M te bei.,Vou.,I'm going.
Mim ê leal.,Eu sou leal.,I'm loyal.
M te ke sorte.,Estou com sorte.,I'm lucky.
M tite minti.,Estou a mentir.,I'm lying.
M tite falá mintirá.,Estou a mentir.,I'm lying.
M tite falá mtirá.,Estou a mentir.,I'm lying.
M te kêt.,Estou quieto.,I'm quiet.
M te ket.,Estou quieto.,I'm quiet.
M te pront!,Estou pronto!,I'm ready!
M te dret.,Eu estou certo.,I'm right.
M te sobrio.,Estou sóbria.,I'm sober.
M te lamentá.,Eu sinto Muito.,I'm sorry.
M te presê.,Estou preso.,I'm stuck.
Mim ê timido.,Eu sou tímido.,I'm timid.
M te cansód.,Estou cansado.,I'm tired.
M te consód.,Estou cansado.,I'm tired.
Mim ê difícil.,Eu sou difícil.,I'm tough.
Mim ê de bossa.,Sou seu.,I'm yours.
M perdê.,Perdi.,I've lost.
Ê mau?,É ruim?,Is it bad?
Ê longe?,É longe?,Is it far?
Ê bô?,É você?,Is it you?
El falhá.,Falhou.,It failed.
