Capverdian Creole,Portuguese,English
A Força de Cretcheu,A Força do meu amor,
Kel Força de nha Cretxeu,Aquela força do meu amor,
ká tem nada na es vida,Não têm nada nesta vida,
Ká tem nada nes vida,Não têm nada nesta vida,
ene dem nada nes vida,Não têm nada nesta vida,
Mas grande que amor,Mas grande que o meu amor,
Mas grande k nha amor,Mas grande que o meu amor,
Se Deus ká tem medida,Se Deus não tem medida,
Se Deus k tem medida,Se Deus não tem medida,
Amor inda é maior.,O amor é maior ainda.,
Amor ê mas maior einda.,O amor é maior ainda.,
"Maior que mar, que céu","Maior que o mar, que o céu",
"Maior k mar, k céu","Maior que o mar, que o céu",
"Mas, entre tudo cretchêu","Mas, de entre todos os amores",
"Mas, d tud cretchêu","Mas, de todos os amores",
D meu ê inda maior,O meu é melhor ainda,
d minha ê einda maior,O meu é melhor ainda,
"Cretchêu más sabe,","Amor mais bom,",
"Cretchêu más sabe,","Amor mais gostoso,",
Ê kel k d minha,É aquele que é meu,
Ê kel k d minha,É aquele que é meu,
K abrim nha céu.,Que abriu o meu céu,
K abrim nha céu.,Que abriu o meu céu,
É quel k krem,É aquele que me quer,
É kel k krem,É aquele que me quer,
Ai sim perdel,Ai se eu o perder,
Morte tá bem,A morte vêm,
Morte t bem,A morte vêm,
"Ó força de cretxeu,","Ó força do meu amor,",
"Ó força de kretxeu,","Ó força do meu amor,",
Que abrim nha asa em flôr,Que abriu as minhas asas em forma de Flôr,
K abrim nha asa em flôr,Que abriu as minhas asas em forma de Flôr,
Txam bá alcança céu,Deixa-me ir alcançar o céu,
P m bá oiá nos Senhor,Para eu ir ver o Nosso Senhor,
Pá m bá oiá nos Senhor,Para eu ir ver o Nosso Senhor,
P m bá pedil semente,Para eu ir pedir sementes a ele,
Pá m bá pedil semente,Para eu ir pedir sementes a ele,
"De amor, moda ês d meu","De amor, igual ao meu",
"De amor, moda es d minha","De amor, igual ao meu",
"De amor, moda es d minha","De amor, igual ao meu",
P m bem dá tudo gente,Para eu ir dar a toda gente,
Pá m bem dá tudo gente,Para eu ir dar a toda gente,
Pá m bem dá tudo gente,Para eu ir dar a toda gente,
Pá tud es bá conché céu,Para todos eles irem conhecer o céu,
Pá tud es bá conxê céu,Para todos eles irem conhecer o céu,
"Se é p m vivê na es mal, de ká tem","Se é para eu viver neste mal, de quem não tem",
"Se é pam vivê na es mal, d Ká tem","Se é para eu viver neste mal, de quem não tem",
"Na nha cruz,","Na minha cruz,",
Na es dor,Em estar dor,
d nha vida,d nha vida,
Na martírio de amor!,No martírio do amor!,
Kem mostram bô Ess caminho longe?,Quem me mostrou esse caminho longe?,
Ess caminho pá Sao Tomé,Este caminho para São Tomé,
Sodade sodade Sodade,Saudades Saudades Saudades,
Dess nha terra São Nicolau,Desta minha terra São Nicolau,
"S bô escrevem, m ta escreveb","Se tu me escreveres, eu te escrevo de volta",
"S bô eskecem, m ta eskeceb","Se tu me esqueceres, eu the esqueço também",
Até dia k bô volta,Até dia que nós voltarmos,
"Escola t uma suav nha mano, jame tmá 5 test,","A escola está bem meu amigo, já tomei 5 testes,",
"nota mes boxe ê 16, t felteme faze 2 e tmá 1","A nota mais baixa é 16, me falta fazer mais 2 e tomar 1",
"Pooo, iss ê prop nice","Poo, isso é mesmo bom",
Continua mural la nha man,Continua com essa mesma força ai man,
Hoje mim ma Vuca tava t fala d bo,Hoje eu e o Vuca estávamos a falar de ti,
Tem k ser nem,Tem de ser nem,
"Mural t lá dcima, ê so estuda","A força está lá em cima, é só estudar",
El bem dem fala,Ele veio me ver,
"Ade, sebim","Assim, bom",
"Ya ontem kel moss faze one, deme um vontad d estod la","Ya ontem aquele rapaz fêz anos, deu-me uma vontade de estar ai",
"adeh, mim també","pois, eu também",
Ma tava p Sâo Pedro,Mas eu estava em São Pedro,
Ma m del fala ont,Mas eu foi o ver ontem,
"Ontem nem mine pud fala ma ele dret, k m passa dia tud ne lugar sem red","Ontem nem consegui falar com ele muito bem, porque eu passei o dia em um lugar sem rede",
Am ok,Ahh ok,
Mim tava ta t faze job d xcola,Eu estava a fazer trabalhos de escola,
Alias nha vida so faze job d xcola,Aliás a minha vida é só fazer trabalhos de escola,
Ess ê vida d um estudante,Esta é a vida de um estudante,
Adeh,Pois,
Único mural k m tem k já t kuase t fecha ess ciclo ei,Única moral que eu tenho é que ja estou a terminar este ciclo aqui,
Fé ne Deus irmão,Fé em deus meu irmão,
Yh brigada,Ya obrigada,
Nos tud merece relaxa n bom place,Nós todos merecemos relaxar em um bom lugar,
Bô t lembra d Bikini Beach,Tu te lembras de Bikini Beach,
Um d kes cosa k nunca m xkece,Uma das coisas que nunca esqueci,
Einda mes cond já bô t um poss a frent d mim,Ainda mais quando estás à um passo afrente de mim,
Tem uns x poss a frent prop,Estou a alguns passos a frente mesmo,
Kkkkk kel descontra mesm kkk,Kkkkk isso é normal mesmo kkk,
Kel tite bé ser algo inesquecível,Aquilo será algo inesquecível,
